Name,Status,Position,Nation,Age,Rating,Playstyle,Market Value,Window Signed,Loaned/Transferred From,Loan Length,Contracted Team,PositionOrder
Stephan Zagadou,The Draft,CB,France,17.0,62.0,The Destroyer,5000000,,,,,2.0
Telli Siwe,The Draft,CB,France,21.0,62.0,The Destroyer,5000000,,,,,2.0
Tylon Smith,The Draft,CB,South Africa,20.0,62.0,The Destroyer,5000000,,,,,2.0
Victor Braroba,The Draft,CB,Colombia,19.0,62.0,The Destroyer,5000000,,,,,2.0
Winston Sagrera,The Draft,CB,Colombia,19.0,62.0,The Destroyer,5000000,,,,,2.0
Yunus Efe Sarıkaya,The Draft,CB,Türkiye,19.0,62.0,The Destroyer,5000000,,,,,2.0
Yuto Yamada,The Draft,CB,Japan,24.0,62.0,The Destroyer,5000000,,,,,2.0
Aaron Bouwman,The Draft,CB,Netherlands,18.0,63.0,Build Up,5000000,,,,,2.0
Abdullah Şahindere,The Draft,CB,Türkiye,22.0,63.0,Build Up,5000000,,,,,2.0
Adam Amrani,The Draft,CB,Denmark,17.0,63.0,Build Up,5000000,,,,,2.0
Agustín Maglione,The Draft,CB,Argentina,19.0,63.0,Build Up,5000000,,,,,2.0
Anıl Çınar,The Draft,CB,Türkiye,22.0,63.0,Build Up,5000000,,,,,2.0
Chanapach Buaphan,The Draft,CB,Thailand,21.0,63.0,Build Up,5000000,,,,,2.0
Chris Applewhite,The Draft,CB,United States,18.0,63.0,Build Up,5000000,,,,,2.0
Christopher Cupps,The Draft,CB,United States,17.0,63.0,Build Up,5000000,,,,,2.0
Clemente González,The Draft,CB,Chile,20.0,63.0,Build Up,5000000,,,,,2.0
Cyrill May,The Draft,CB,Switzerland,18.0,63.0,Build Up,5000000,,,,,2.0
Daan van Reeuwijk,The Draft,CB,Netherlands,18.0,63.0,Build Up,5000000,,,,,2.0
Dhari Fahad,The Draft,CB,United Arab Emirates,22.0,63.0,Build Up,5000000,,,,,2.0
Djibril Lamego,The Draft,CB,France,22.0,63.0,Build Up,5000000,,,,,2.0
Dorian Paloschi,The Draft,CB,Italy,20.0,63.0,Build Up,5000000,,,,,2.0
Eddy Kouadio,The Draft,CB,Italy,19.0,63.0,Build Up,5000000,,,,,2.0
Ekain Díaz,The Draft,CB,Spain,22.0,63.0,Build Up,5000000,,,,,2.0
Freddie Simmonds,The Draft,CB,England,17.0,63.0,Build Up,5000000,,,,,2.0
Georges Gomis,The Draft,CB,Senegal,17.0,63.0,Build Up,5000000,,,,,2.0
Gonçalo Oliveira,The Draft,CB,Portugal,19.0,63.0,Build Up,5000000,,,,,2.0
Hiroki Hatahashi,The Draft,CB,Japan,23.0,63.0,Build Up,5000000,,,,,2.0
Hiromichi Katano,The Draft,CB,Japan,43.0,63.0,Build Up,2000000,,,,,2.0
Iago Parente,The Draft,CB,Spain,19.0,63.0,Build Up,5000000,,,,,2.0
Ignacio Pérez,The Draft,CB,Chile,19.0,63.0,Build Up,5000000,,,,,2.0
Isaac Cossier,The Draft,CB,France,19.0,63.0,Build Up,5000000,,,,,2.0
Jaime Rosquillo,The Draft,CB,Philippines,22.0,63.0,Build Up,5000000,,,,,2.0
Jakkrapong Sanmahung,The Draft,CB,Thailand,23.0,63.0,Build Up,5000000,,,,,2.0
Jakob Kiilerich,The Draft,CB,Denmark,23.0,63.0,Build Up,5000000,,,,,2.0
Jop Tijink,The Draft,CB,Netherlands,20.0,63.0,Build Up,5000000,,,,,2.0
Josema,The Draft,CB,Spain,22.0,63.0,Build Up,5000000,,,,,2.0
Kotaro Honda,The Draft,CB,Japan,19.0,63.0,Build Up,5000000,,,,,2.0
Lee Gyu-Baek,The Draft,CB,Korea Republic,21.0,63.0,Build Up,5000000,,,,,2.0
Lovro Golič,The Draft,CB,Slovenia,19.0,63.0,Build Up,5000000,,,,,2.0
Manu Fernández,The Draft,CB,Spain,24.0,63.0,Build Up,5000000,,,,,2.0
Mateo Cienfuegos,The Draft,CB,Chile,19.0,63.0,Build Up,5000000,,,,,2.0
Matias Casarosa,The Draft,CB,Italy,18.0,63.0,Build Up,5000000,,,,,2.0
Natanael Samaniego,The Draft,CB,Argentina,21.0,63.0,Build Up,5000000,,,,,2.0
Oier Llorente,The Draft,CB,Spain,20.0,63.0,Build Up,5000000,,,,,2.0
Oliver Jones,The Draft,CB,Australia,22.0,63.0,Build Up,5000000,,,,,2.0
Oscar Oppong,The Draft,CB,Ghana,20.0,63.0,Build Up,5000000,,,,,2.0
Parinya Utapao,The Draft,CB,Thailand,37.0,63.0,Build Up,2000000,,,,,2.0
Pierre Mbemba,The Draft,CB,Congo,21.0,63.0,Build Up,5000000,,,,,2.0
Prachya Fudsuparp,The Draft,CB,Thailand,23.0,63.0,Build Up,5000000,,,,,2.0
Prince Amponsah,The Draft,CB,United States,22.0,63.0,Build Up,5000000,,,,,2.0
Robin Kelder,The Draft,CB,Netherlands,20.0,63.0,Build Up,5000000,,,,,2.0
Rodolfo Lippo,The Draft,CB,Finland,21.0,63.0,Build Up,5000000,,,,,2.0
Rodrigo Mendes,The Draft,CB,Portugal,20.0,63.0,Build Up,5000000,,,,,2.0
Sambou Camara,The Draft,CB,Switzerland,18.0,63.0,Build Up,5000000,,,,,2.0
Sebastián Painen,The Draft,CB,Chile,21.0,63.0,Build Up,5000000,,,,,2.0
Shin Min-Ha,The Draft,CB,Korea Republic,20.0,63.0,Build Up,5000000,,,,,2.0
Soe Moe Kyaw,The Draft,CB,Myanmar,26.0,63.0,Build Up,5000000,,,,,2.0
Songchai Thongcham,The Draft,CB,Thailand,24.0,63.0,Build Up,5000000,,,,,2.0
Takaki Ose,The Draft,CB,Cambodia,30.0,63.0,Build Up,2000000,,,,,2.0
Thomas Camier,The Draft,CB,France,21.0,63.0,Build Up,5000000,,,,,2.0
Umberto Ghio,The Draft,CB,Italy,20.0,63.0,Build Up,5000000,,,,,2.0
Wichan Inaram,The Draft,CB,Thailand,18.0,63.0,Build Up,5000000,,,,,2.0
Worawut Satapon,The Draft,CB,Thailand,28.0,63.0,Build Up,5000000,,,,,2.0
Chibuike Ukaegbu,The Draft,CB,United States,18.0,63.0,Extra Frontman,5000000,,,,,2.0
Choi Hyun-Woung,The Draft,CB,Korea Republic,22.0,63.0,Extra Frontman,5000000,,,,,2.0
Jeremy Moray,The Draft,CB,Belgium,19.0,63.0,Extra Frontman,5000000,,,,,2.0
Lee Sang-Yong,The Draft,CB,Korea Republic,31.0,63.0,Extra Frontman,2000000,,,,,2.0
Lim Yu-Seok,The Draft,CB,Korea Republic,24.0,63.0,Extra Frontman,5000000,,,,,2.0
Luzolo Vangi Vungele,The Draft,CB,France,20.0,63.0,Extra Frontman,5000000,,,,,2.0
Markus Walker,The Draft,CB,Denmark,19.0,63.0,Extra Frontman,5000000,,,,,2.0
Marvin Akahomen,The Draft,CB,Switzerland,18.0,63.0,Extra Frontman,5000000,,,,,2.0
Massamba Sow,The Draft,CB,France,21.0,63.0,Extra Frontman,5000000,,,,,2.0
Neil Pierre,The Draft,CB,United States,18.0,63.0,Extra Frontman,5000000,,,,,2.0
Ricky Ratlhogo,The Draft,CB,Botswana,25.0,63.0,Extra Frontman,5000000,,,,,2.0
Riyadh Yami,The Draft,CB,Saudi Arabia,19.0,63.0,Extra Frontman,5000000,,,,,2.0
Robin Bouw,The Draft,CB,Netherlands,19.0,63.0,Extra Frontman,5000000,,,,,2.0
Rocco Smith,The Draft,CB,Australia,21.0,63.0,Extra Frontman,5000000,,,,,2.0
Samuel Tabares,The Draft,CB,England,19.0,63.0,Extra Frontman,5000000,,,,,2.0
Timothy Akindileni,The Draft,CB,Czechia,18.0,63.0,Extra Frontman,5000000,,,,,2.0
Tylel Tati,The Draft,CB,France,17.0,63.0,Extra Frontman,5000000,,,,,2.0
Abdessamed Bounacer,The Draft,CB,Algeria,21.0,63.0,The Destroyer,5000000,,,,,2.0
Akito Saito,The Draft,CB,Japan,26.0,63.0,The Destroyer,5000000,,,,,2.0
Ariel Guzmán,The Draft,CB,Chile,22.0,63.0,The Destroyer,5000000,,,,,2.0
Arlen Banguero,The Draft,CB,Colombia,25.0,63.0,The Destroyer,5000000,,,,,2.0
Arthur Tchaptchet,The Draft,CB,France,19.0,63.0,The Destroyer,5000000,,,,,2.0
Benjamín Molina,The Draft,CB,Chile,19.0,63.0,The Destroyer,5000000,,,,,2.0
Cathal McCarthy,The Draft,CB,Republic of Ireland,19.0,63.0,The Destroyer,5000000,,,,,2.0
Charles Dabao,The Draft,CB,Philippines,28.0,63.0,The Destroyer,5000000,,,,,2.0
Emirhan Parmaksız,The Draft,CB,Türkiye,20.0,63.0,The Destroyer,5000000,,,,,2.0
Gaetan Bakhouche,The Draft,CB,France,20.0,63.0,The Destroyer,5000000,,,,,2.0
Harold Tenorio,The Draft,CB,Colombia,20.0,63.0,The Destroyer,5000000,,,,,2.0
Isaac Venecia,The Draft,CB,Colombia,19.0,63.0,The Destroyer,5000000,,,,,2.0
Ismael López,The Draft,CB,Colombia,18.0,63.0,The Destroyer,5000000,,,,,2.0
Jonas Lietaert,The Draft,CB,Belgium,21.0,63.0,The Destroyer,5000000,,,,,2.0
Kazunari Kita,The Draft,CB,Japan,20.0,63.0,The Destroyer,5000000,,,,,2.0
Kelechi Ihendu,The Draft,CB,Germany,20.0,63.0,The Destroyer,5000000,,,,,2.0
Kevin Aponza,The Draft,CB,Colombia,19.0,63.0,The Destroyer,5000000,,,,,2.0
Kike Linares,The Draft,CB,Philippines,26.0,63.0,The Destroyer,5000000,,,,,2.0
Kim Moon-Hyeon,The Draft,CB,Korea Republic,23.0,63.0,The Destroyer,5000000,,,,,2.0
Lautaro Pignata,The Draft,CB,Argentina,21.0,63.0,The Destroyer,5000000,,,,,2.0
Luca Sassarini,The Draft,CB,Italy,18.0,63.0,The Destroyer,5000000,,,,,2.0
Lukas Urriola,The Draft,CB,Chile,19.0,63.0,The Destroyer,5000000,,,,,2.0
Max de Ligt,The Draft,CB,Netherlands,21.0,63.0,The Destroyer,5000000,,,,,2.0
Nattapong Sayriya,The Draft,CB,Thailand,33.0,63.0,The Destroyer,2000000,,,,,2.0
Nuttawut Wongsawang,The Draft,CB,Thailand,21.0,63.0,The Destroyer,5000000,,,,,2.0
S. Cleall-Harding,The Draft,CB,Scotland,19.0,63.0,The Destroyer,5000000,,,,,2.0
Santiago Noguera,The Draft,CB,Argentina,17.0,63.0,The Destroyer,5000000,,,,,2.0
Saurabh Bhanwala,The Draft,CB,India,26.0,63.0,The Destroyer,5000000,,,,,2.0
Shawn Van Eerden,The Draft,CB,Japan,21.0,63.0,The Destroyer,5000000,,,,,2.0
Stephen Acquah,The Draft,CB,Ghana,19.0,63.0,The Destroyer,5000000,,,,,2.0
Thabo Babutsi,The Draft,CB,Botswana,23.0,63.0,The Destroyer,5000000,,,,,2.0
Thierry Diethelm,The Draft,CB,Switzerland,19.0,63.0,The Destroyer,5000000,,,,,2.0
Tibault Citherlet,The Draft,CB,Switzerland,20.0,63.0,The Destroyer,5000000,,,,,2.0
Vicente Torres,The Draft,CB,Chile,19.0,63.0,The Destroyer,5000000,,,,,2.0
Viktor Damjanić,The Draft,CB,Croatia,20.0,63.0,The Destroyer,5000000,,,,,2.0
Wanchat Choosong,The Draft,CB,Thailand,25.0,63.0,The Destroyer,5000000,,,,,2.0
Yuri Takeuchi,The Draft,CB,Japan,24.0,63.0,The Destroyer,5000000,,,,,2.0
Axel Dodote,The Draft,CB,France,18.0,63.0,The Destroyer,5000000,,,,,2.0
A. Aït Boudlal,The Draft,CB,Morocco,19.0,64.0,Build Up,5000000,,,,,2.0
Abdoulaye Maiga,The Draft,CB,Spain,19.0,64.0,Build Up,5000000,,,,,2.0
Alouis Diriken,The Draft,CB,Belgium,21.0,64.0,Build Up,5000000,,,,,2.0
Amando Lapage,The Draft,CB,Belgium,21.0,64.0,Build Up,5000000,,,,,2.0
Amine Chabane,The Draft,CB,Morocco,19.0,64.0,Build Up,5000000,,,,,2.0
Andrea Natali,The Draft,CB,Italy,17.0,64.0,Build Up,5000000,,,,,2.0
Ángel Recio,The Draft,CB,Spain,22.0,64.0,Build Up,5000000,,,,,2.0
Anıl Yaşar,The Draft,CB,Türkiye,23.0,64.0,Build Up,5000000,,,,,2.0
Arafat Mohd. Fahid,The Draft,CB,Jordan,22.0,64.0,Build Up,5000000,,,,,2.0
Aurélien Pelon,The Draft,CB,France,21.0,64.0,Build Up,5000000,,,,,2.0
Bedirhan Özyurt,The Draft,CB,Türkiye,22.0,64.0,Build Up,5000000,,,,,2.0
Benjamín González,The Draft,CB,Argentina,18.0,64.0,Build Up,5000000,,,,,2.0
Borja Montes,The Draft,CB,Spain,20.0,64.0,Build Up,5000000,,,,,2.0
Brad Manguelle,The Draft,CB,Belgium,18.0,64.0,Build Up,5000000,,,,,2.0
Callum Perry,The Draft,CB,England,20.0,64.0,Build Up,5000000,,,,,2.0
Carlos Olmos,The Draft,CB,Colombia,20.0,64.0,Build Up,5000000,,,,,2.0
Cole Dewhurst,The Draft,CB,United States,22.0,64.0,Build Up,5000000,,,,,2.0
Daan Bisschops,The Draft,CB,Netherlands,20.0,64.0,Build Up,5000000,,,,,2.0
Duong Thanh Hao,The Draft,CB,Vietnam,34.0,64.0,Build Up,2000000,,,,,2.0
Elian Peralta,The Draft,CB,Paraguay,24.0,64.0,Build Up,5000000,,,,,2.0
Eneko Astigarraga,The Draft,CB,Spain,21.0,64.0,Build Up,5000000,,,,,2.0
Ethan Brown,The Draft,CB,Canada,20.0,64.0,Build Up,5000000,,,,,2.0
Ettore Nicolosi,The Draft,CB,Italy,19.0,64.0,Build Up,5000000,,,,,2.0
Facundo Sánchez,The Draft,CB,Argentina,20.0,64.0,Build Up,5000000,,,,,2.0
Guillaume Vacter,The Draft,CB,France,25.0,64.0,Build Up,5000000,,,,,2.0
Hamad Al Shamsan,The Draft,CB,Bahrain,28.0,64.0,Build Up,5000000,,,,,2.0
Jack Neeley,The Draft,CB,United States,20.0,64.0,Build Up,5000000,,,,,2.0
Jake Rooney,The Draft,CB,England,22.0,64.0,Build Up,5000000,,,,,2.0
Jan Plug,The Draft,CB,Netherlands,20.0,64.0,Build Up,5000000,,,,,2.0
Jeremy Kandje Mbambi,The Draft,CB,Belgium,17.0,64.0,Build Up,5000000,,,,,2.0
Jesper Nyholm,The Draft,CB,Philippines,32.0,64.0,Build Up,2000000,,,,,2.0
Joseph Calusic,The Draft,CB,Australia,21.0,64.0,Build Up,5000000,,,,,2.0
Josh Ramsey,The Draft,CB,United States,23.0,64.0,Build Up,5000000,,,,,2.0
Juan Villalba,The Draft,CB,Argentina,19.0,64.0,Build Up,5000000,,,,,2.0
Kenny Nielsen,The Draft,CB,United States,23.0,64.0,Build Up,5000000,,,,,2.0
Kim Ha-Jun,The Draft,CB,Korea Republic,23.0,64.0,Build Up,5000000,,,,,2.0
Lalo Aguilar,The Draft,CB,Spain,23.0,64.0,Build Up,5000000,,,,,2.0
Lam Chin Yu,The Draft,CB,"Hong Kong, China",20.0,64.0,Build Up,5000000,,,,,2.0
Lee Chan-Wook,The Draft,CB,Korea Republic,22.0,64.0,Build Up,5000000,,,,,2.0
Leo Burney,The Draft,CB,United States,24.0,64.0,Build Up,5000000,,,,,2.0
Marc Bombardó,The Draft,CB,Spain,20.0,64.0,Build Up,5000000,,,,,2.0
Marco Esteban,The Draft,CB,Spain,19.0,64.0,Build Up,5000000,,,,,2.0
Mario Paura,The Draft,CB,Italy,20.0,64.0,Build Up,5000000,,,,,2.0
Mateo Guerra,The Draft,CB,Chile,21.0,64.0,Build Up,5000000,,,,,2.0
Matías Funes,The Draft,CB,Argentina,20.0,64.0,Build Up,5000000,,,,,2.0
Máximo Palazzo,The Draft,CB,Argentina,20.0,64.0,Build Up,5000000,,,,,2.0
Maxx Creevey,The Draft,CB,Thailand,30.0,64.0,Build Up,2000000,,,,,2.0
Metehan Baltacı,The Draft,CB,Türkiye,23.0,64.0,Build Up,5000000,,,,,2.0
Miki Inoue,The Draft,CB,Japan,24.0,64.0,Build Up,5000000,,,,,2.0
Mohamed Soumah,The Draft,CB,Guinea,22.0,64.0,Build Up,5000000,,,,,2.0
Nelson Orji,The Draft,CB,Nigeria,23.0,64.0,Build Up,5000000,,,,,2.0
Ni,The Draft,CB,Portugal,22.0,64.0,Build Up,5000000,,,,,2.0
Nicolás Suárez,The Draft,CB,Chile,20.0,64.0,Build Up,5000000,,,,,2.0
Nikolai Hopland,The Draft,CB,Norway,21.0,64.0,Build Up,5000000,,,,,2.0
Parker Williams,The Draft,CB,Australia,20.0,64.0,Build Up,5000000,,,,,2.0
Peter Amoran,The Draft,CB,Sweden,21.0,64.0,Build Up,5000000,,,,,2.0
Rafael Venâncio,The Draft,CB,Brazil,19.0,64.0,Build Up,5000000,,,,,2.0
Renan,The Draft,CB,Brazil,20.0,64.0,Build Up,5000000,,,,,2.0
Santipap Yaemsaen,The Draft,CB,Thailand,25.0,64.0,Build Up,5000000,,,,,2.0
Saringkan Promsupa,The Draft,CB,Thailand,28.0,64.0,Build Up,5000000,,,,,2.0
Seny Koumbassa,The Draft,CB,France,18.0,64.0,Build Up,5000000,,,,,2.0
Sere Matsumura,The Draft,CB,Japan,22.0,64.0,Build Up,5000000,,,,,2.0
Seydou Fall,The Draft,CB,Mauritania,20.0,64.0,Build Up,5000000,,,,,2.0
Sodiqjon Qurbonov,The Draft,CB,Tajikistan,22.0,64.0,Build Up,5000000,,,,,2.0
Şöhrat Söýünow,The Draft,CB,Turkmenistan,33.0,64.0,Build Up,2000000,,,,,2.0
Songwut Kraikruan,The Draft,CB,Thailand,24.0,64.0,Build Up,5000000,,,,,2.0
Syahrul Sazali,The Draft,CB,Singapore,27.0,64.0,Build Up,5000000,,,,,2.0
Teerapat Laohabut,The Draft,CB,Thailand,26.0,64.0,Build Up,5000000,,,,,2.0
Thiago Yánez,The Draft,CB,Argentina,17.0,64.0,Build Up,5000000,,,,,2.0
Tossapol Lated,The Draft,CB,Thailand,36.0,64.0,Build Up,2000000,,,,,2.0
Ulises Giménez,The Draft,CB,Argentina,19.0,64.0,Build Up,5000000,,,,,2.0
Yamato Okada,The Draft,CB,Japan,24.0,64.0,Build Up,5000000,,,,,2.0
Arthur Dias,The Draft,CB,Brazil,18.0,64.0,Extra Frontman,5000000,,,,,2.0
Choi Seok-Hyun,The Draft,CB,Korea Republic,22.0,64.0,Extra Frontman,5000000,,,,,2.0
Fellipe Jack,The Draft,CB,Italy,19.0,64.0,Extra Frontman,5000000,,,,,2.0
Gabriele Calvani,The Draft,CB,Italy,21.0,64.0,Extra Frontman,5000000,,,,,2.0
Ilan Sauter,The Draft,CB,Switzerland,24.0,64.0,Extra Frontman,5000000,,,,,2.0
Kakang Rudianto,The Draft,CB,Indonesia,22.0,64.0,Extra Frontman,5000000,,,,,2.0
Kobi Henry,The Draft,CB,United States,21.0,64.0,Extra Frontman,5000000,,,,,2.0
Naoufel El Hannach,The Draft,CB,Morocco,19.0,64.0,Extra Frontman,5000000,,,,,2.0
Nuno Matos,The Draft,CB,Portugal,21.0,64.0,Extra Frontman,5000000,,,,,2.0
Ousmane Touré,The Draft,CB,France,20.0,64.0,Extra Frontman,5000000,,,,,2.0
Owen Presthus,The Draft,CB,United States,19.0,64.0,Extra Frontman,5000000,,,,,2.0
Sékou Doucouré,The Draft,CB,France,20.0,64.0,Extra Frontman,5000000,,,,,2.0
Sven Bouland,The Draft,CB,Netherlands,19.0,64.0,Extra Frontman,5000000,,,,,2.0
Abdulrahman Bakri,The Draft,CB,Sudan,21.0,64.0,None,5000000,,,,,2.0
Andrés Marín,The Draft,CB,Colombia,18.0,64.0,None,5000000,,,,,2.0
Claudio Manzi,The Draft,CB,Italy,25.0,64.0,None,5000000,,,,,2.0
Gael Alonso,The Draft,CB,Spain,23.0,64.0,None,5000000,,,,,2.0
Robin Denuit,The Draft,CB,Belgium,23.0,64.0,None,5000000,,,,,2.0
Adrian Ugelvik,The Draft,CB,Philippines,24.0,64.0,The Destroyer,5000000,,,,,2.0
Ahmed Al Rumaihi,The Draft,CB,Qatar,20.0,64.0,The Destroyer,5000000,,,,,2.0
Alessandro Boi,The Draft,CB,Italy,20.0,64.0,The Destroyer,5000000,,,,,2.0
Ali Rabei,The Draft,CB,Palestine,23.0,64.0,The Destroyer,5000000,,,,,2.0
Álvaro Augusto,The Draft,CB,Brazil,20.0,64.0,The Destroyer,5000000,,,,,2.0
Amine Aboulfath,The Draft,CB,Morocco,28.0,64.0,The Destroyer,5000000,,,,,2.0
Banphakit Phrmmanee,The Draft,CB,Thailand,27.0,64.0,The Destroyer,5000000,,,,,2.0
Cher Deng,The Draft,CB,Australia,20.0,64.0,The Destroyer,5000000,,,,,2.0
Connor Allan,The Draft,CB,Scotland,21.0,64.0,The Destroyer,5000000,,,,,2.0
Daniel Denoon,The Draft,CB,Switzerland,21.0,64.0,The Destroyer,5000000,,,,,2.0
Davi Alexandre,The Draft,CB,United States,18.0,64.0,The Destroyer,5000000,,,,,2.0
Daylam Meddah,The Draft,CB,France,23.0,64.0,The Destroyer,5000000,,,,,2.0
Deiro Ochoa,The Draft,CB,Colombia,18.0,64.0,The Destroyer,5000000,,,,,2.0
Ervin Bashi,The Draft,CB,Albania,20.0,64.0,The Destroyer,5000000,,,,,2.0
Gilberto Batista,The Draft,CB,Guinea-Bissau,22.0,64.0,The Destroyer,5000000,,,,,2.0
Harith Haiqal,The Draft,CB,Malaysia,23.0,64.0,The Destroyer,5000000,,,,,2.0
Jacopo La Barba,The Draft,CB,Italy,18.0,64.0,The Destroyer,5000000,,,,,2.0
Jeferson Medina,The Draft,CB,Colombia,19.0,64.0,The Destroyer,5000000,,,,,2.0
Jhon Rentería,The Draft,CB,Colombia,19.0,64.0,The Destroyer,5000000,,,,,2.0
João Vale,The Draft,CB,Portugal,20.0,64.0,The Destroyer,5000000,,,,,2.0
Josué Mwimba Isala,The Draft,CB,Congo DR,22.0,64.0,The Destroyer,5000000,,,,,2.0
Julián Bazán,The Draft,CB,Colombia,20.0,64.0,The Destroyer,5000000,,,,,2.0
Kevin Ruiz,The Draft,CB,Guatemala,30.0,64.0,The Destroyer,2000000,,,,,2.0
Kholmurod Nazarov,The Draft,CB,Tajikistan,31.0,64.0,The Destroyer,2000000,,,,,2.0
Kim Min-Kyu,The Draft,CB,Korea Republic,27.0,64.0,The Destroyer,5000000,,,,,2.0
Kim Yu-Song,The Draft,CB,Korea DPR,22.0,64.0,The Destroyer,5000000,,,,,2.0
Leo Cristaldo,The Draft,CB,Paraguay,16.0,64.0,The Destroyer,5000000,,,,,2.0
Lorenzo Malanca,The Draft,CB,Italy,18.0,64.0,The Destroyer,5000000,,,,,2.0
Luciano Romero,The Draft,CB,Argentina,19.0,64.0,The Destroyer,5000000,,,,,2.0
Malcolm Jeng,The Draft,CB,Sweden,20.0,64.0,The Destroyer,5000000,,,,,2.0
Martín Krug,The Draft,CB,Panama,19.0,64.0,The Destroyer,5000000,,,,,2.0
Mateo Benítez,The Draft,CB,Colombia,19.0,64.0,The Destroyer,5000000,,,,,2.0
Michael Martínez,The Draft,CB,Colombia,19.0,64.0,The Destroyer,5000000,,,,,2.0
Miguel Amaya,The Draft,CB,Colombia,21.0,64.0,The Destroyer,5000000,,,,,2.0
Nick Verschuren,The Draft,CB,Netherlands,20.0,64.0,The Destroyer,5000000,,,,,2.0
Nicolas Trabucchi,The Draft,CB,Italy,18.0,64.0,The Destroyer,5000000,,,,,2.0
Royer Caicedo,The Draft,CB,Colombia,19.0,64.0,The Destroyer,5000000,,,,,2.0
S. Sultonmurodov,The Draft,CB,Uzbekistan,24.0,64.0,The Destroyer,5000000,,,,,2.0
Samuel Ofori,The Draft,CB,Ghana,26.0,64.0,The Destroyer,5000000,,,,,2.0
Seydou Sano,The Draft,CB,Senegal,21.0,64.0,The Destroyer,5000000,,,,,2.0
Sheriff Kassama,The Draft,CB,Italy,21.0,64.0,The Destroyer,5000000,,,,,2.0
Simone Giorgeschi,The Draft,CB,Italy,21.0,64.0,The Destroyer,5000000,,,,,2.0
Steven Baseya,The Draft,CB,France,20.0,64.0,The Destroyer,5000000,,,,,2.0
Travis Takahashi,The Draft,CB,Japan,24.0,64.0,The Destroyer,5000000,,,,,2.0
Victor Hegelund,The Draft,CB,Italy,20.0,64.0,The Destroyer,5000000,,,,,2.0
Worawut Namvech,The Draft,CB,Thailand,30.0,64.0,The Destroyer,2000000,,,,,2.0
Yuri Mori,The Draft,CB,Japan,25.0,64.0,The Destroyer,5000000,,,,,2.0
Ahmed Nabeel Ghailan,The Draft,CB,Bahrain,30.0,65.0,Build Up,2000000,,,,,2.0
Albert Caparrós,The Draft,CB,Spain,27.0,65.0,Build Up,5000000,,,,,2.0
Álvaro Ocampo,The Draft,CB,Argentina,21.0,65.0,Build Up,5000000,,,,,2.0
Ameed Mahajneh,The Draft,CB,Palestine,29.0,65.0,Build Up,5000000,,,,,2.0
Ángel Azuaje,The Draft,CB,Mexico,21.0,65.0,Build Up,5000000,,,,,2.0
Arthur Piedfort,The Draft,CB,Belgium,20.0,65.0,Build Up,5000000,,,,,2.0
Benjamin Arthur,The Draft,CB,England,20.0,65.0,Build Up,5000000,,,,,2.0
Benjamín Mellado,The Draft,CB,Chile,22.0,65.0,Build Up,5000000,,,,,2.0
Chatchai Saengdao,The Draft,CB,Thailand,28.0,65.0,Build Up,5000000,,,,,2.0
Christopher Pearson,The Draft,CB,Jamaica,22.0,65.0,Build Up,5000000,,,,,2.0
Clément Jolibois,The Draft,CB,France,28.0,65.0,Build Up,5000000,,,,,2.0
Cristóbal Muñoz,The Draft,CB,Chile,26.0,65.0,Build Up,5000000,,,,,2.0
David Retamal,The Draft,CB,Chile,22.0,65.0,Build Up,5000000,,,,,2.0
Denis Portanova,The Draft,CB,Italy,24.0,65.0,Build Up,5000000,,,,,2.0
Dilan Ortíz,The Draft,CB,Colombia,22.0,65.0,Build Up,5000000,,,,,2.0
Dilshod Komilov,The Draft,CB,Uzbekistan,26.0,65.0,Build Up,5000000,,,,,2.0
Elvis van der Laan,The Draft,CB,Sweden,17.0,65.0,Build Up,5000000,,,,,2.0
Erick Garcia,The Draft,CB,Brazil,20.0,65.0,Build Up,5000000,,,,,2.0
Fabrizio Tomarelli,The Draft,CB,Chile,24.0,65.0,Build Up,5000000,,,,,2.0
Fernando Closter,The Draft,CB,Argentina,17.0,65.0,Build Up,5000000,,,,,2.0
Filip Lissah,The Draft,CB,England,21.0,65.0,Build Up,5000000,,,,,2.0
Filipe Bordon,The Draft,CB,Brazil,20.0,65.0,Build Up,5000000,,,,,2.0
Finn McRobb,The Draft,CB,Scotland,23.0,65.0,Build Up,5000000,,,,,2.0
Gonzalo Bordón,The Draft,CB,Argentina,20.0,65.0,Build Up,5000000,,,,,2.0
Guus Offerhaus,The Draft,CB,Netherlands,24.0,65.0,Build Up,5000000,,,,,2.0
Hoang Van Khanh,The Draft,CB,Vietnam,30.0,65.0,Build Up,2000000,,,,,2.0
Ian Pilcher,The Draft,CB,United States,22.0,65.0,Build Up,5000000,,,,,2.0
Ignacio Ovando,The Draft,CB,Argentina,18.0,65.0,Build Up,5000000,,,,,2.0
Jean Borg,The Draft,CB,Malta,27.0,65.0,Build Up,5000000,,,,,2.0
Jhoan Merino,The Draft,CB,Argentina,19.0,65.0,Build Up,5000000,,,,,2.0
Jordan Emaviwe,The Draft,CB,Singapore,24.0,65.0,Build Up,5000000,,,,,2.0
Jorge Moreno,The Draft,CB,Spain,24.0,65.0,Build Up,5000000,,,,,2.0
José Ardón,The Draft,CB,Guatemala,25.0,65.0,Build Up,5000000,,,,,2.0
Josh Jones,The Draft,CB,United States,23.0,65.0,Build Up,5000000,,,,,2.0
